movie_odid,display_name,od_name,production_year,running_time,sequel,distributor,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office
10100,Titanic,Titanic (1997),1997,194,0,Paramount Pictures,28638131,2674,3265,87364,,,,,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,200000000,659363944,1548844451,1240601558
20100,The Dark Knight,Dark Knight The,2008,152,1,Warner Bros.,158411483,4366,4366,39170,19608737,282729286,2670357,34211062,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,185000000,533720947,468275260,676958488
30100,Star Wars Ep. IV: A New Hope,Star Wars Ep IV A New Hope,1977,119,0,20th Century Fox,1554475,43,2375,43684,978024,27664195,206746,3524023,Science Fiction,Original Screenplay,Live Action,Adventure,11000000,460998007,325600000,1497057186
40100,Shrek 2,Shrek 2,2004,92,1,Dreamworks SKG,108037878,4163,4223,33603,,,,,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,70000000,441226247,495781885,647273927
50100,ET: The Extra-Terrestrial,ET The Extra Terrestrial,1982,114,0,Universal,11911430,1101,3010,62065,,,,,Kids Fiction,Original Screenplay,Live Action,Drama,10500000,435110554,357854772,1224582698
60100,Star Wars Ep. I: The Phantom Menace,Star Wars Ep I The Phantom Menace,1999,133,1,20th Century Fox,64810970,2970,3126,47092,,,,,Science Fiction,Original Screenplay,Animation/Live Action,Adventure,115000000,474544677,552500000,822741783
70100,Pirates of the Caribbean: Dead Man’s Chest,Pirates of the Caribbean Dead Mans Chest,2006,151,1,Walt Disney,135634554,4133,4133,34395,20014749,320862526,473711,5136619,Historical Fiction,Based on Theme Park Ride,Live Action,Adventure,225000000,423315812,642900000,588764432
80100,Spider-Man,Spider Man,2002,121,0,Sony Pictures,114844116,3615,3876,31297,,,,,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,139000000,403706375,418000000,633006036
90100,Transformers: Revenge of the Fallen,Transformers Revenge of the Fallen,2009,149,1,Paramount Pictures,108966307,4234,4293,28686,11130733,221984094,2392950,50212258,Science Fiction,Based on TV,Animation/Live Action,Action,210000000,402111870,434407829,488431885
100100,Star Wars Ep. III: Revenge of the Sith,Star Wars Ep III Revenge of the Sith,2005,139,1,20th Century Fox,108435841,3661,3663,26895,,,,,Science Fiction,Original Screenplay,Animation/Live Action,Adventure,115000000,380270577,468728300,540446942
110100,The Lord of the Rings: The Return of the King,Lord of the Rings The Return of the King The,2003,201,1,New Line,72629713,3703,3703,35419,,,,,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,94000000,377845905,763557436,566753142
120100,Spider-Man 2,Spider Man 2,2004,127,1,Sony Pictures,88156227,4152,4166,29417,3323035,31705962,50928,1382864,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,200000000,373524485,421586185,547956206
130100,The Passion of the Christ,Passion of the Christ The,2003,127,0,Newmarket Films,83848082,3043,3408,35829,1051802,8381257,304940,3960671,Dramatization,Based on Religious Text,Live Action,Drama,25000000,370782930,251558994,543911111
140100,Jurassic Park,Jurassic Park,1993,126,0,Universal,50159460,2404,2778,49159,,,,,Science Fiction,Based on Fiction Book/Short Story,Animation/Live Action,Action,63000000,395708305,643104279,822172244
150100,The Lord of the Rings: The Two Towers,Lord of the Rings The Two Towers The,2002,179,1,New Line,62007528,3622,3622,32379,,,,,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,94000000,342548984,592150661,532244571
160100,Finding Nemo,Finding Nemo,2003,100,0,Walt Disney,70251710,3374,3425,50008,,,,,Kids Fiction,Original Screenplay,Digital Animation,Adventure,94000000,380529370,555900000,559944647
170100,Spider-Man 3,Spider Man 3,2007,139,1,Sony Pictures,151116516,4252,4324,27819,7826644,125012364,53559,916236,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,258000000,336530303,558329927,445609164
180100,Forrest Gump,Forrest Gump,1994,142,0,Paramount Pictures,24450602,1595,2365,56286,,,,,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,55000000,330151138,349699499,732264606
190100,The Lion King,Lion King The,1994,87,0,Walt Disney,1586753,2,2624,60238,4760098,111174993,3731114,112993670,Kids Fiction,Original Screenplay,Hand Animation,Adventure,79300000,421785283,564429585,827550405
