movie_odid,display_name,release_date,territory,release_pattern,distributor
10100,Titanic,1997-12-19,North America,Wide,Paramount Pictures
10100,Titanic,1998-02-20,South Korea,Wide,
10100,Titanic,2012-04-04,North America,Wide,Paramount Pictures
10100,Titanic,2012-04-04,North America,IMAX,Paramount Pictures
10100,Titanic,2012-04-05,Russia (CIS),Wide,
10100,Titanic,2012-04-06,Netherlands,Wide,
10100,Titanic,2017-12-01,North America,Limited,Paramount Pictures
20100,The Dark Knight,2008-07-18,North America,Wide,Warner Bros.
20100,The Dark Knight,2008-07-18,North America,IMAX,Warner Bros.
20100,The Dark Knight,2008-08-06,South Korea,Wide,
20100,The Dark Knight,2009-01-23,North America,Wide,Warner Bros.
20100,The Dark Knight,2017-07-08,South Korea,Special Engagement,
20100,The Dark Knight,2017-08-06,South Korea,Wide,
20100,The Dark Knight,2018-08-24,North America,Limited,Warner Bros.
30100,Star Wars Ep. IV: A New Hope,1977-05-25,North America,Wide,20th Century Fox
30100,Star Wars Ep. IV: A New Hope,1978-07-21,North America,Wide,20th Century Fox
30100,Star Wars Ep. IV: A New Hope,1979-08-15,North America,Wide,20th Century Fox
30100,Star Wars Ep. IV: A New Hope,1981-04-10,North America,Wide,20th Century Fox
30100,Star Wars Ep. IV: A New Hope,1982-08-13,North America,Wide,20th Century Fox
30100,Star Wars Ep. IV: A New Hope,1997-01-31,North America,Wide,20th Century Fox
40100,Shrek 2,2004-05-19,North America,Wide,Dreamworks SKG
50100,ET: The Extra-Terrestrial,1982-06-11,North America,Wide,Universal
50100,ET: The Extra-Terrestrial,1985-07-19,North America,Wide,Universal
50100,ET: The Extra-Terrestrial,2002-03-22,North America,Wide,Universal
50100,ET: The Extra-Terrestrial,2012-10-03,North America,Special Engagement,NCM Fathom
60100,Star Wars Ep. I: The Phantom Menace,1999-05-19,North America,Wide,20th Century Fox
60100,Star Wars Ep. I: The Phantom Menace,2012-02-10,North America,Wide,20th Century Fox
70100,Pirates of the Caribbean: Dead Man’s Chest,2006-07-07,North America,Wide,Walt Disney
80100,Spider-Man,2002-05-03,North America,Wide,Sony Pictures
90100,Transformers: Revenge of the Fallen,2009-06-24,Australia,Wide,
90100,Transformers: Revenge of the Fallen,2009-06-24,North America,Wide,Paramount Pictures
90100,Transformers: Revenge of the Fallen,2009-06-24,North America,IMAX,Paramount Pictures
100100,Star Wars Ep. III: Revenge of the Sith,2005-05-19,North America,Wide,20th Century Fox
110100,The Lord of the Rings: The Return of the King,2003-12-17,North America,Wide,New Line
110100,The Lord of the Rings: The Return of the King,2003-12-26,Australia,Wide,
110100,The Lord of the Rings: The Return of the King,2004-01-16,Czech Republic,Wide,
110100,The Lord of the Rings: The Return of the King,2011-06-28,North America,Special Engagement,Warner Bros.
110100,The Lord of the Rings: The Return of the King,2017-01-24,South Korea,Limited,
120100,Spider-Man 2,2004-06-30,North America,Wide,Sony Pictures
130100,The Passion of the Christ,2004-02-25,North America,Wide,Newmarket Films
130100,The Passion of the Christ,2004-04-02,South Korea,Wide,
130100,The Passion of the Christ,2005-03-11,North America,Limited,Newmarket Films
140100,Jurassic Park,1993-06-11,North America,Wide,Universal
140100,Jurassic Park,1994-08-26,North America,Wide,Universal
140100,Jurassic Park,2013-04-05,North America,Wide,Universal
140100,Jurassic Park,2013-04-05,North America,IMAX,Universal
140100,Jurassic Park,2015-06-10,China,Wide,
140100,Jurassic Park,2018-04-04,Russia (CIS),Wide,
150100,The Lord of the Rings: The Two Towers,2002-12-18,North America,Wide,New Line
