movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
10100,Titanic,,171788,,,6687947
20100,The Dark Knight,,16439718,0,,6447493
30100,Star Wars Ep. IV: A New Hope,,,,,3373767
40100,Shrek 2,,1247261,,,
50100,ET: The Extra-Terrestrial,,,,,10497540
60100,Star Wars Ep. I: The Phantom Menace,,,,,
70100,Pirates of the Caribbean: Dead Man’s Chest,,446946,,,2965267
80100,Spider-Man,,11848,,,847323
90100,Transformers: Revenge of the Fallen,,7707588,24357203,,3378746
100100,Star Wars Ep. III: Revenge of the Sith,,,,,
110100,The Lord of the Rings: The Return of the King,,1108947,,,4323417
120100,Spider-Man 2,,18375,,,706926
130100,The Passion of the Christ,,,,,3078548
140100,Jurassic Park,,2983561,,,6243227
150100,The Lord of the Rings: The Two Towers,,1071994,,,
160100,Finding Nemo,,176867136,0,,23188228
170100,Spider-Man 3,,12555,,,738923
180100,Forrest Gump,,1285262,,,973087
190100,The Lion King,,4815368,0,,49882500
200100,Shrek the Third,,433359,,,199248
210100,Transformers,,2446975,,,2130251
220100,Iron Man,,3321031,0,,4412159
230100,Harry Potter and the Sorcerer’s Stone,,13315314,,,2343441
240100,Indiana Jones and the Kingdom of the Crystal Skull,,,,,
250100,The Lord of the Rings: The Fellowship of the Ring,,405614,,,
260100,Star Wars Ep. II: Attack of the Clones,,,,,
270100,Pirates of the Caribbean: At World’s End,,421769,,,2300894
280100,Star Wars Ep. VI: Return of the Jedi,,,,,3164495
300100,Pirates of the Caribbean: The Curse of the Black Pearl,,164430,,,2504426
310100,Harry Potter and the Half-Blood Prince,,53078597,29633398,,6088063
320100,The Sixth Sense,,,,,
330100,Harry Potter and the Order of the Phoenix,,6775046,,,3457299
340100,Up,,216793746,29916608,,20428933
350100,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,763759,,,
360100,Star Wars Ep. V: The Empire Strikes Back,,,,,3489878
370100,Harry Potter and the Goblet of Fire,,7833085,,,2029348
390100,The Matrix Reloaded,,,,,
410100,The Hangover,,3138480,59403746,,9485350
420100,Shrek,,3461929,,,
