movie_odid,display_name,chart_date,revenue,total_revenue
1360100,Elf,2017-11-26,225448,0
1360100,Elf,2018-11-18,46509,0
1360100,Elf,2018-11-25,70461,0
1360100,Elf,2018-12-02,64523,0
1360100,Elf,2018-12-09,84655,0
1360100,Elf,2018-12-16,87659,0
1360100,Elf,2018-12-23,125363,0
1360100,Elf,2018-12-30,84580,0
10920100,The Nightmare Before Christmas,2018-10-28,40962,0
10920100,The Nightmare Before Christmas,2018-11-04,83770,0
10920100,The Nightmare Before Christmas,2018-11-11,67943,0
10920100,The Nightmare Before Christmas,2018-11-18,56736,0
10920100,The Nightmare Before Christmas,2018-11-25,45882,0
10920100,The Nightmare Before Christmas,2018-12-02,38508,0
10920100,The Nightmare Before Christmas,2018-12-09,42327,0
10920100,The Nightmare Before Christmas,2018-12-16,38450,0
10920100,The Nightmare Before Christmas,2018-12-23,52251,0
10920100,The Nightmare Before Christmas,2018-12-30,39361,0
11600100,Premonition,2016-09-25,544303,0
11600100,Premonition,2016-10-02,409495,0
106850100,Wonder Woman,2017-10-01,3115538,3115538
106850100,Wonder Woman,2017-10-08,3657019,6772557
106850100,Wonder Woman,2017-10-15,2381710,9154267
106850100,Wonder Woman,2017-10-22,1570932,10725199
106850100,Wonder Woman,2017-10-29,1188168,11913367
106850100,Wonder Woman,2017-11-05,960918,12874285
106850100,Wonder Woman,2017-11-12,996131,13870416
106850100,Wonder Woman,2017-11-19,861584,14732000
106850100,Wonder Woman,2017-11-26,896358,15628358
106850100,Wonder Woman,2017-12-03,697622,16325980
106850100,Wonder Woman,2017-12-10,533225,16859205
106850100,Wonder Woman,2017-12-17,448084,17307289
106850100,Wonder Woman,2017-12-24,440091,17747380
106850100,Wonder Woman,2017-12-31,587960,18335340
106850100,Wonder Woman,2018-01-07,569996,18905336
106850100,Wonder Woman,2018-01-14,411909,19317245
106850100,Wonder Woman,2018-01-21,376436,19693681
106850100,Wonder Woman,2018-02-04,314951,20008632
106850100,Wonder Woman,2019-03-10,45187,20053819
106850100,Wonder Woman,2019-03-24,48205,20102024
106850100,Wonder Woman,2019-03-31,86639,20188663
106850100,Wonder Woman,2019-04-07,120401,20309064
114290100,Hotel Transylvania,2018-10-21,37868,0
114290100,Hotel Transylvania,2018-10-28,28003,0
115430100,Pompeii,2014-06-22,795234,0
115430100,Pompeii,2014-06-29,620895,0
115430100,Pompeii,2014-07-06,511639,0
115430100,Pompeii,2014-07-13,446223,0
118060100,Jurassic World,2015-11-22,5488474,5488474
118060100,Jurassic World,2015-11-29,5413229,10901703
118060100,Jurassic World,2015-12-06,3403662,14305365
118060100,Jurassic World,2015-12-13,2344911,16650276
118060100,Jurassic World,2015-12-20,1752713,18402989
